coverage_ratio,inspection_success_rate,mission_time,total_energy_consumption,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,reward
0.348125,0.0,164,67.79999999999973,0,0,111,0,5,0,6,0.0,,0.5575000000000008
0.349375,0.0,165,68.04999999999971,0,0,112,0,5,0,6,0.0,,0.15750000000000072
0.350625,0.0,166,68.2999999999997,0,0,113,0,5,0,6,0.0,,0.15750000000000072
0.355,0.0,167,68.54999999999968,0,0,114,0,5,0,6,0.0,,0.6575000000000008
0.35625,0.0,168,68.79999999999967,0,0,115,0,5,0,6,0.0,,0.15750000000000072
0.359375,0.0,169,69.04999999999966,0,0,116,0,5,0,6,0.0,,0.4575000000000007
0.361875,0.0,170,69.29999999999964,0,0,117,0,5,0,6,0.0,,0.3575000000000007
0.365,0.0,171,69.54999999999963,0,0,118,0,5,0,6,0.0,,0.4575000000000007
0.366875,0.0,172,69.79999999999961,0,0,119,0,5,0,6,0.0,,0.25750000000000073
0.37,0.0,173,70.0499999999996,0,0,120,0,5,0,6,0.0,,0.4575000000000007
0.37125,0.0,174,70.29999999999959,0,0,121,0,5,0,6,0.0,,0.15750000000000072
0.373125,0.0,175,70.54999999999957,0,0,122,0,5,0,6,0.0,,0.25750000000000073
0.37375,0.0,176,70.79999999999956,0,0,123,0,5,0,6,0.0,,0.05750000000000071
0.37375,0.0,177,71.14999999999954,0,0,124,0,5,0,6,0.0,,-0.04749999999999901
0.375,0.0,178,71.39999999999952,0,0,125,0,5,0,6,0.0,,0.15750000000000072
0.375625,0.0,179,71.7499999999995,0,0,126,0,5,0,6,0.0,,0.052500000000001
0.376875,0.0,180,72.09999999999948,0,0,127,0,5,0,6,0.0,,0.152500000000001
0.38,0.0,181,72.44999999999946,0,0,128,0,5,0,6,0.0,,0.45250000000000096
0.3825,0.0,182,72.69999999999945,0,0,129,0,5,0,6,0.0,,0.3575000000000007
0.384375,0.0,183,72.94999999999943,0,0,130,0,5,0,6,0.0,,0.25750000000000073
0.385625,0.0,184,73.19999999999942,0,0,131,0,5,0,6,0.0,,0.15750000000000072
0.3875,0.0,185,73.4499999999994,0,0,132,0,5,0,6,0.0,,0.25750000000000073
0.389375,0.0,186,73.69999999999939,0,0,133,0,5,0,6,0.0,,0.25750000000000073
0.390625,0.0,187,73.94999999999938,0,0,134,0,5,0,6,0.0,,0.15750000000000072
0.39125,0.0,188,74.19999999999936,0,0,135,0,5,0,6,0.0,,0.05750000000000071
0.393125,0.0,189,74.44999999999935,0,0,136,0,5,0,6,0.0,,0.25750000000000073
0.39375,0.0,190,74.69999999999933,0,0,137,0,5,0,6,0.0,,0.05750000000000071
0.395,0.0,191,74.94999999999932,0,0,138,0,5,0,6,0.0,,0.15750000000000072
0.395625,0.0,192,75.1999999999993,0,0,139,0,5,0,6,0.0,,0.05750000000000071
0.396875,0.0,193,75.44999999999929,0,0,140,0,5,0,6,0.0,,0.15750000000000072
0.398125,0.0,194,75.69999999999928,0,0,141,0,5,0,6,0.0,,0.15750000000000072
0.4,0.0,195,75.94999999999926,0,0,142,0,5,0,6,0.0,,0.25750000000000073
0.401875,0.0,196,76.19999999999925,0,0,143,0,5,0,6,0.0,,0.25750000000000073
0.401875,0.0,197,76.44999999999924,0,0,144,0,5,0,6,0.0,,-0.042499999999999295
0.403125,0.0,198,76.69999999999922,0,0,145,0,5,0,6,0.0,,0.15750000000000072
0.403125,0.0,199,77.0499999999992,0,0,146,0,5,0,6,0.0,,-0.04749999999999901
0.404375,0.0,200,77.39999999999918,0,0,147,0,5,0,6,0.0,,0.152500000000001
0.405625,0.0,201,77.64999999999917,0,0,148,0,5,0,6,0.0,,0.15750000000000072
0.406875,0.0,202,77.99999999999915,0,0,149,0,5,0,6,0.0,,0.152500000000001
0.40875,0.0,203,78.34999999999913,0,0,150,0,5,0,6,0.0,,0.252500000000001
0.40875,0.0,204,78.59999999999911,0,0,151,0,5,0,6,0.0,,-0.042499999999999295
0.410625,0.0,205,78.9499999999991,0,0,152,0,5,0,6,0.0,,0.252500000000001
0.41125,0.0,206,79.29999999999907,0,0,153,0,5,0,6,0.0,,0.052500000000001
0.4125,0.0,207,79.64999999999905,0,0,154,0,5,0,6,0.0,,0.152500000000001
0.415,0.0,208,79.99999999999903,0,0,155,0,5,0,6,0.0,,0.352500000000001
0.418125,0.0,209,80.24999999999902,0,0,156,0,5,0,6,0.0,,0.4575000000000007
0.419375,0.0,210,80.499999999999,0,0,157,0,5,0,6,0.0,,0.15750000000000072
0.420625,0.0,211,80.74999999999899,0,0,158,0,5,0,6,0.0,,0.15750000000000072
0.42375,0.0,212,80.99999999999898,0,0,159,0,5,0,6,0.0,,0.4575000000000007
