coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,target_distribution,communication_radius,communication_mode,baseline
0.8325,0.0,0.625,0,645,161.24999999999656,67.75000000000183,35.50000000000164,35.50000000000164,1,441,584,0,5,0,10,0.3116279069767442,collision,0,0,0,1040.6704800152547,0,1,1,edge,400.0,hard,hierarchical_task_allocation
0.83375,0.0,1.0,0,1000,249.99999999999656,50.00000000000284,1.4043488594239761e-12,1.4043488594239761e-12,0,573,919,0,8,0,14,0.5553333333333333,max_steps_reached,0,0,0,919.6863122043599,0,1,2,edge,400.0,hard,hierarchical_task_allocation
0.829375,0.0,0.75,0,653,161.64999999999657,67.35000000000186,35.50000000000164,34.70000000000163,1,539,581,0,6,0,12,0.3226135783563042,collision,16,16,0,852.8508224000308,16,1,3,edge,400.0,hard,hierarchical_task_allocation
0.839375,0.0,0.625,0,1000,249.99999999999656,50.00000000000284,1.4043488594239761e-12,1.4043488594239761e-12,0,37,1665,0,5,0,17,0.5523333333333333,max_steps_reached,0,0,0,789.9826892767302,0,1,4,edge,400.0,hard,hierarchical_task_allocation
0.84,0.25,1.0,0,1000,249.99999999999795,50.00000000000284,7.021744297119881e-13,0.0,0,83,1653,0,8,2,22,0.552,max_steps_reached,2,2,0,683.3710389789592,2,1,5,edge,400.0,hard,hierarchical_task_allocation
0.83375,0.25,0.75,0,1000,249.99999999999935,50.00000000000284,0.0,0.0,0,602,915,0,6,2,16,0.5553333333333333,max_steps_reached,2,2,0,1419.682931617425,2,1,6,edge,400.0,hard,hierarchical_task_allocation
0.8325,0.0,0.75,0,604,150.99999999999656,69.80000000000172,39.6000000000017,39.6000000000017,1,434,550,0,6,0,9,0.26490066225165565,collision,0,0,0,1137.3190714666857,0,1,7,edge,400.0,hard,hierarchical_task_allocation
0.744375,0.0,0.5,0,448,111.99999999999748,77.60000000000127,55.20000000000192,55.20000000000192,1,268,402,0,4,0,5,0.11383928571428571,collision,0,0,0,821.3718536202159,0,1,8,edge,400.0,hard,hierarchical_task_allocation
0.83125,0.125,0.75,0,1000,249.99999999999795,50.00000000000284,7.021744297119881e-13,0.0,0,588,911,0,6,1,13,0.5566666666666666,max_steps_reached,2,2,0,694.4767581543454,2,1,9,edge,400.0,hard,hierarchical_task_allocation
0.8625,0.25,0.625,0,1000,201.64999999999577,50.00000000000284,24.175000000001287,21.800000000001305,0,28,548,0,5,2,20,0.54,max_steps_reached,221,221,0,758.3838827784647,221,1,0,edge,800.0,hard,hierarchical_task_allocation
0.86,0.375,0.75,0,1000,249.999999999998,50.00000000000284,7.021744297119881e-13,0.0,0,494,679,0,6,3,15,0.5413333333333333,max_steps_reached,21,21,0,609.5695862852278,21,1,1,edge,800.0,hard,hierarchical_task_allocation
0.863125,0.5,1.0,0,1000,246.94999999999797,50.00000000000284,1.525000000000691,0.0,0,74,745,0,8,4,14,0.5396666666666666,max_steps_reached,39,39,0,693.4070045616616,39,1,2,edge,800.0,hard,hierarchical_task_allocation
0.83875,0.375,0.75,0,1000,248.549999999998,50.00000000000284,0.7250000000006938,0.0,0,0,716,0,6,3,16,0.5526666666666666,max_steps_reached,19,19,0,812.1280612407116,19,1,3,edge,800.0,hard,hierarchical_task_allocation
