step,agent_id,uav_type,x,y,action,action_name,battery,nearest_candidate_distance,in_candidate_range,coverage_ratio,target_detection_rate,inspection_success_rate,collision_count
31,quadrotor_0,quadrotor,375.0,105.0,2,move_east,96.90000000000018,619.1158594463336,0,0.07875,0.0,0.0,0
31,quadrotor_1,quadrotor,315.0,180.0,2,move_east,96.90000000000018,,,0.07875,0.0,0.0,0
32,fixedwing_0,fixedwing,576.404389711652,750.3008595505446,5,turn_left,98.10000000000011,,,0.08,0.0,0.0,0
32,quadrotor_0,quadrotor,390.0,105.0,0,move_north,96.80000000000018,613.9446417335046,0,0.08,0.0,0.0,0
32,quadrotor_1,quadrotor,330.0,180.0,0,move_north,96.80000000000018,,,0.08,0.0,0.0,0
33,fixedwing_0,fixedwing,586.9648707654429,778.3806786367232,8,orbit_candidate,97.95000000000012,,,0.084375,0.0,0.0,0
33,quadrotor_0,quadrotor,390.0,120.0,0,move_north,96.70000000000019,599.8268798634922,0,0.084375,0.0,0.0,0
33,quadrotor_1,quadrotor,330.0,195.0,2,move_east,96.70000000000019,,,0.084375,0.0,0.0,0
34,fixedwing_0,fixedwing,607.7243432192239,800.0381093116835,5,turn_left,97.90000000000012,,,0.086875,0.0,0.0,0
34,quadrotor_0,quadrotor,390.0,135.0,2,move_east,96.6000000000002,585.7529756648818,0,0.086875,0.0,0.0,0
34,quadrotor_1,quadrotor,345.0,195.0,4,hover_inspect,96.6000000000002,,,0.086875,0.0,0.0,0
35,fixedwing_0,fixedwing,617.385989053237,828.4397395426772,8,orbit_candidate,97.75000000000013,,,0.08875,0.0,0.0,0
35,quadrotor_0,quadrotor,405.0,135.0,0,move_north,96.5000000000002,580.6721314094318,0,0.08875,0.0,0.0,0
35,quadrotor_1,quadrotor,345.0,195.0,2,move_east,96.6000000000002,,,0.08875,0.0,0.0,0
36,fixedwing_0,fixedwing,638.3328669899952,849.9159660432185,5,turn_left,97.70000000000013,,,0.0925,0.0,0.0,0
36,quadrotor_0,quadrotor,405.0,150.0,0,move_north,96.4000000000002,566.5195379588099,0,0.0925,0.0,0.0,0
36,quadrotor_1,quadrotor,360.0,195.0,4,hover_inspect,96.5000000000002,,,0.0925,0.0,0.0,0
37,fixedwing_0,fixedwing,648.240940065777,878.2325704993493,5,turn_left,97.55000000000014,,,0.095,0.0,0.0,0
37,quadrotor_0,quadrotor,405.0,165.0,2,move_east,96.30000000000021,552.4116667690453,0,0.095,0.0,0.0,0
37,quadrotor_1,quadrotor,360.0,195.0,0,move_north,96.5000000000002,,,0.095,0.0,0.0,0
38,fixedwing_0,fixedwing,645.2535896952372,908.0834622408642,8,orbit_candidate,97.40000000000015,,,0.0975,0.0,0.0,0
38,quadrotor_0,quadrotor,420.0,165.0,2,move_east,96.20000000000022,547.4323933399114,0,0.0975,0.0,0.0,0
38,quadrotor_1,quadrotor,360.0,210.0,3,move_west,96.4000000000002,,,0.0975,0.0,0.0,0
39,fixedwing_0,fixedwing,657.472004003564,935.4825562366531,6,straight,97.35000000000015,,,0.1,0.0,0.0,0
39,quadrotor_0,quadrotor,435.0,165.0,0,move_north,96.10000000000022,542.8220711919997,0,0.1,0.0,0.0,0
39,quadrotor_1,quadrotor,345.0,210.0,4,hover_inspect,96.30000000000021,,,0.1,0.0,0.0,0
40,fixedwing_0,fixedwing,669.6904183118909,962.881650232442,7,turn_right,97.30000000000015,,,0.10125,0.0,0.0,0
40,quadrotor_0,quadrotor,435.0,180.0,0,move_north,96.00000000000023,528.507392253565,0,0.10125,0.0,0.0,0
40,quadrotor_1,quadrotor,345.0,210.0,0,move_north,96.30000000000021,,,0.10125,0.0,0.0,0
41,fixedwing_0,fixedwing,692.3434198225378,982.5499374623618,8,orbit_candidate,97.15000000000016,,,0.105,0.0,0.0,0
41,quadrotor_0,quadrotor,435.0,195.0,0,move_north,95.90000000000023,514.2317827207441,0,0.105,0.0,0.0,0
41,quadrotor_1,quadrotor,345.0,225.0,2,move_east,96.20000000000022,,,0.105,0.0,0.0,0
42,fixedwing_0,fixedwing,720.7737921474019,992.1266764412421,5,turn_left,97.10000000000016,,,0.10625,0.0,0.0,0
42,quadrotor_0,quadrotor,435.0,210.0,0,move_north,95.80000000000024,499.9985890516551,0,0.10625,0.0,0.0,0
42,quadrotor_1,quadrotor,360.0,225.0,2,move_east,96.10000000000022,,,0.10625,0.0,0.0,0
43,fixedwing_0,fixedwing,742.4931551933786,1012.8213440847937,8,orbit_candidate,96.95000000000017,,,0.109375,0.0,0.0,0
43,quadrotor_0,quadrotor,435.0,225.0,2,move_east,95.70000000000024,485.8115393309807,0,0.109375,0.0,0.0,0
43,quadrotor_1,quadrotor,375.0,225.0,0,move_north,96.00000000000023,,,0.109375,0.0,0.0,0
44,fixedwing_0,fixedwing,770.6921843392371,1023.0592518413141,5,turn_left,96.90000000000018,,,0.11125,0.0,0.0,0
44,quadrotor_0,quadrotor,450.0,225.0,0,move_north,95.60000000000025,481.07840051538983,0,0.11125,0.0,0.0,0
44,quadrotor_1,quadrotor,375.0,240.0,2,move_east,95.90000000000023,,,0.11125,0.0,0.0,0
45,fixedwing_0,fixedwing,791.9224572610799,1044.2553720444096,8,orbit_candidate,96.75000000000018,,,0.114375,0.0,0.0,0
45,quadrotor_0,quadrotor,450.0,240.0,2,move_east,95.50000000000026,466.7983399027218,0,0.114375,0.0,0.0,0
45,quadrotor_1,quadrotor,390.0,240.0,1,move_south,95.80000000000024,,,0.114375,0.0,0.0,0
46,fixedwing_0,fixedwing,820.0380893525609,1054.7201334892054,8,orbit_candidate,96.70000000000019,,,0.116875,0.0,0.0,0
46,quadrotor_0,quadrotor,465.0,240.0,0,move_north,95.40000000000026,462.3572923954437,0,0.116875,0.0,0.0,0
46,quadrotor_1,quadrotor,390.0,225.0,3,move_west,95.70000000000024,,,0.116875,0.0,0.0,0
47,fixedwing_0,fixedwing,850.0349286808427,1054.2846678611154,6,straight,96.65000000000019,,,0.120625,0.0,0.0,0
47,quadrotor_0,quadrotor,465.0,255.0,2,move_east,95.30000000000027,447.98273239572194,0,0.120625,0.0,0.0,0
47,quadrotor_1,quadrotor,375.0,225.0,2,move_east,95.60000000000025,,,0.120625,0.0,0.0,0
48,fixedwing_0,fixedwing,880.0317680091244,1053.8492022330254,8,orbit_candidate,96.6000000000002,,,0.121875,0.0,0.0,0
48,quadrotor_0,quadrotor,480.0,255.0,0,move_north,95.20000000000027,443.86045579669053,0,0.121875,0.0,0.0,0
48,quadrotor_1,quadrotor,390.0,225.0,2,move_east,95.50000000000026,,,0.121875,0.0,0.0,0
49,fixedwing_0,fixedwing,908.2500503808882,1043.6644813243597,5,turn_left,96.5500000000002,,,0.125,0.0,0.0,0
49,quadrotor_0,quadrotor,480.0,270.0,0,move_north,95.10000000000028,429.3906926256518,0,0.125,0.0,0.0,0
49,quadrotor_1,quadrotor,405.0,225.0,2,move_east,95.40000000000026,,,0.125,0.0,0.0,0
50,fixedwing_0,fixedwing,938.128748477951,1046.3595509013041,5,turn_left,96.4000000000002,,,0.126875,0.0,0.0,0
50,quadrotor_0,quadrotor,480.0,285.0,2,move_east,95.00000000000028,414.9585878217586,0,0.126875,0.0,0.0,0
50,quadrotor_1,quadrotor,420.0,225.0,2,move_east,95.30000000000027,,,0.126875,0.0,0.0,0
51,fixedwing_0,fixedwing,964.0690596099578,1061.4293968983502,5,turn_left,96.25000000000021,,,0.12875,0.0,0.0,0
51,quadrotor_0,quadrotor,495.0,285.0,0,move_north,94.90000000000029,411.0525578345633,0,0.12875,0.0,0.0,0
